REPORT_NUM,IYEAR,SIGNIFICAN,CAUSE,latitude,longitude,ONSHORE_ST,TOTAL_COST,PIPE_DIAME,MATERIAL_I,INSTALLATI,SYSTEM_PAR,HubDist,eq_count,eq_max_mag,eq_avg_depth,pipe_type
20220166,2022,NO,INCORRECT OPERATION,27.938536,-82.438057,FL,31401,,CARBON STEEL,1989,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,1683168.5771766268,1,3.0,0.4,hazardous_liquid
20120082,2012,YES,EQUIPMENT FAILURE,30.26630836,-95.35229159,TX,901600,,MATERIAL OTHER THAN CARBON STEEL,2002,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,565516.9923012196,20,3.3,4.765,hazardous_liquid
20190372,2019,NO,INCORRECT OPERATION,35.941115,-96.746936,OK,1030,,CARBON STEEL,UNKNOWN,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,195885.6756590626,1915,5.7,5.30116501305483,hazardous_liquid
20250196,2025,YES,INCORRECT OPERATION,31.967744,-103.738853,TX,22850,,CARBON STEEL,2017,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,107863.89427952399,289,3.9,5.003940138408304,hazardous_liquid
20110034,2011,NO,EQUIPMENT FAILURE,28.27222,-98.28751,,2080,,MATERIAL OTHER THAN CARBON STEEL OR PLASTIC,1988,"OFFSHORE PLATFORM, INCLUDING PLATFORM-MOUNTED EQUIPMENT AND PIPING",486884.97652800445,3,3.4,4.299566666666666,gas
20240195,2024,YES,CORROSION FAILURE,29.759136,-95.903791,TX,2694761,10.0,CARBON STEEL,1954,"ONSHORE PIPELINE, INCLUDING VALVE SITES",593916.9224843287,1,2.9,3.12,hazardous_liquid
20230055,2023,NO,EQUIPMENT FAILURE,32.028425,-90.142072,MS,8965,,MATERIAL OTHER THAN CARBON STEEL OR PLASTIC,2007,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,814906.3956411908,1,2.76,11.8,gas
20140113,2014,NO,CORROSION FAILURE,37.462217,-86.225891,KY,48200,20.0,CARBON STEEL,1950,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,1128133.2772738938,1915,5.7,5.30116501305483,hazardous_liquid
20210019,2021,NO,INCORRECT OPERATION,29.910874,-94.010014,TX,5012,,CARBON STEEL,2009,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,668180.4632880439,20,3.3,4.765,hazardous_liquid
20160054,2016,YES,EQUIPMENT FAILURE,28.17348888,-97.28321944,TX,1845,16.0,CARBON STEEL,2016,"ONSHORE PIPELINE, INCLUDING VALVE SITES",585177.2665301033,2,3.9,5.0,gas
20210271,2021,NO,CORROSION FAILURE,32.005497,-102.04456,TX,18000,8.0,CARBON STEEL,2012,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,271324.01045544783,124,4.8,5.362785483870968,hazardous_liquid
20140326,2014,NO,EQUIPMENT FAILURE,29.99447,-93.99172,TX,671,,,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,661760.0362533984,4,4.2,5.4375,hazardous_liquid
20180289,2018,NO,EQUIPMENT FAILURE,34.89906,-97.760908,OK,63600,,CARBON STEEL,2017,"ONSHORE PIPELINE, INCLUDING VALVE SITES",53120.36517264517,3299,5.8,5.651424067899363,hazardous_liquid
20130259,2013,YES,EQUIPMENT FAILURE,42.79375,-94.40176,IA,188903,,MATERIAL OTHER THAN CARBON STEEL,2011,"ONSHORE PIPELINE, INCLUDING VALVE SITES",788532.2061881594,17,4.6,4.616470588235295,hazardous_liquid
20150136,2015,NO,CORROSION FAILURE,37.99367,-86.06631,IN,70910,8.0,CARBON STEEL,1984,"BELOWGROUND STORAGE, INCLUDING ASSOCIATED EQUIPMENT AND PIPING",1155440.0210440864,106,4.4,5.922216981132076,gas
20130001,2012,YES,CORROSION FAILURE,38.50263611,-81.64485833,WV,4376218,20.0,CARBON STEEL,1967,"ONSHORE PIPELINE, INCLUDING VALVE SITES",1545434.9208648244,0,0.0,0.0,gas
20130005,2012,NO,NATURAL FORCE DAMAGE,38.338614,-97.676694,KS,8450,,MATERIAL OTHER THAN CARBON STEEL,2011,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,255815.87120480815,3551,5.8,5.492065615319628,hazardous_liquid
